Id,FullName,IdentityNumber,BirthDate,ClassId,personlId
1,Jennifer Thomas,999411611691,04/07/2000,2,
2,Linda Martinez,999289350116,30/12/1990,2,
3,James Thomas,999448720308,28/07/1991,2,
4,Barbara Rodriguez,999646429005,21/08/1992,2,
5,Michael Clark,999494918151,18/09/1992,4,
6,Laura Martinez,999772986850,13/10/1995,4,
7,Michael Martin,999946092255,16/10/1990,1,
8,William Smith,999561834985,06/12/1992,1,
9,Michael Jackson,999211401204,11/08/1998,2,
10,Jennifer Thompson,999239978839,16/12/1996,2,
11,Laura Clark,999987773834,31/01/1994,2,
12,Sarah Martin,999631852489,27/09/1991,1,
13,Elizabeth Martin,999518793658,21/09/2000,4,
14,Sophia Garcia,999148917788,19/03/1994,1,
15,John Brown,999162102191,21/08/1997,1,
16,Laura Brown,999584492350,05/10/1997,4,
17,John Martin,999605022142,26/11/1997,1,
18,James Harris,999680942473,22/04/1996,1,
19,Laura Martin,999722311172,19/05/1996,4,
20,Robert Martinez,999751255510,04/05/1995,3,
21,Elizabeth Jackson,999053887942,10/11/1993,1,
22,Sarah Thompson,999375485774,09/08/1996,1,
23,Michael Martin,999753124094,04/03/1999,2,
24,William Harris,999268068153,08/12/1991,2,
25,Jennifer Clark,999071204318,30/01/2000,2,
26,David Johnson,999238740171,25/02/1990,3,
27,Daniel Thomas,999488228152,17/03/2000,1,
28,Sophia Thompson,999018259215,19/05/2000,4,
29,James Thomas,999877200725,09/11/1995,1,
30,Jennifer Jackson,999508622600,19/10/1995,1,
31,Laura Brown,999511650149,20/09/1998,2,
32,Robert Garcia,999545072962,03/04/1990,4,
33,Barbara Thompson,999302980008,25/06/1998,1,
34,Linda Martin,999814229698,07/10/1994,2,
35,James Anderson,999977945689,17/06/1990,1,
36,Laura Martinez,999926968352,30/11/1990,1,
37,Thomas Harris,999576861371,01/03/1992,4,
38,Linda Taylor,999657239301,03/07/1993,2,
39,Daniel Martinez,999213713177,06/01/1998,1,
40,Jennifer Smith,999076904826,06/08/1996,4,
41,Michael White,999668632429,03/08/1990,2,
42,Sarah Thompson,999965017203,03/10/1991,1,
43,Laura Martin,999860234817,21/09/1993,3,
44,David Martin,999679828820,25/02/1992,2,
45,Thomas Robinson,999643539863,19/02/1998,4,
46,Emily Johnson,999013340301,31/08/1999,3,
47,Daniel Smith,999577212918,19/12/1993,2,
48,Elizabeth Harris,999628250060,19/02/1997,3,
49,Elizabeth Garcia,999299394950,28/02/1998,1,
50,David Harris,999991259998,09/08/1992,3,
51,Robert Garcia,999444891291,06/06/1995,3,
52,David Brown,999658723436,17/08/1993,3,
53,Jennifer Robinson,999390890267,29/09/1994,4,
54,Thomas Brown,999809096293,16/04/1997,4,
55,Emily Taylor,999683730671,15/12/2000,2,
56,Michael Martin,999284808363,30/04/1996,3,
57,Robert Brown,999505054095,30/06/1990,3,
58,Robert Smith,999631036204,18/10/1995,4,
59,Sophia Clark,999102309691,23/05/1994,4,
60,Linda Smith,999338248790,12/12/1996,2,
61,Laura Jackson,999481932315,01/02/1998,1,
62,Thomas Thomas,999762219353,06/12/1994,4,
63,James Johnson,999330823107,21/10/1994,4,
64,Emily Martinez,999455470795,11/05/1999,1,
65,Barbara Johnson,999162607207,26/05/2000,3,
66,Barbara Robinson,999067730900,11/07/1993,2,
67,Robert Brown,999093272209,19/06/2000,4,
68,Elizabeth Smith,999833163481,30/09/1992,1,
69,John Thomas,999016636323,16/07/1999,1,
70,Elizabeth Martin,999195438761,01/01/1996,3,
71,Jennifer Martin,999412832486,03/09/1991,4,
72,Daniel Jackson,999535453500,21/08/1999,3,
73,Emily Martinez,999252097479,10/03/1995,2,
74,Barbara Thomas,999365824371,25/01/1991,2,
75,Sarah Robinson,999160426740,10/04/1992,4,
76,John Taylor,999354417849,30/07/1994,4,
77,John White,999462758971,31/03/1995,4,
78,Laura Garcia,999551237019,29/05/1991,4,
79,William White,999962532318,11/10/1998,3,
80,Daniel Harris,999865364997,04/02/1999,3,
81,Robert Thomas,999045624623,13/04/1995,3,
82,John Thompson,999997817992,27/02/2000,2,
83,Thomas White,999923660915,12/12/1993,3,
84,David Jackson,999552555664,14/10/1996,3,
85,Jennifer Brown,999482848725,01/12/1996,4,
86,Daniel Martinez,999804676270,18/10/2000,2,
87,Robert Smith,999928870782,24/05/1994,3,
88,James Jackson,999996286298,17/06/1996,2,
89,Thomas Smith,999231764646,05/03/1999,4,
90,Jennifer Smith,999299659102,28/07/1994,1,
91,David Thomas,999962799251,06/03/1996,3,
92,Michael Anderson,999699162140,14/02/1996,3,
93,David Jackson,999237903174,30/07/1996,3,
94,Jennifer Brown,999502406577,05/08/1996,3,
95,Jennifer White,999222567503,18/07/1996,3,
96,Daniel Garcia,999351436130,14/07/1997,1,
97,Emily Clark,999009872641,23/05/1991,1,
98,Sophia Clark,999651860595,15/02/1999,2,
99,David Thompson,999261926195,30/12/1992,3,
100,David Martin,999055513678,07/02/1991,4,
